,BookName,Href
0,Machine learning with Spark and Python : essential techniques for predictive analytics / Michael Bowles.,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&1%2C1%2C
1,Introduction to Python for science and engineering / David J. Pine,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&2%2C2%2C
2,Python for finance : mastering data-driven finance / Yves Hilpisch,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&3%2C3%2C
3,R and Python for oceanographers : a practical guide with applications / Hakan Alyuruk,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&4%2C4%2C
4,"PySAM (Python Wrapper for System Advisor Model ""SAM"") [electronic resource]",http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&5%2C5%2C
5,Python GST Implementation (PyGSTi) v. 0.9 [electronic resource],http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&6%2C6%2C
6,The Python workbook : a brief introduction with exercises and solutions / Ben Stephenson,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&7%2C7%2C
7,"Python for Probability, Statistics, and Machine Learning / by José Unpingco",http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&8%2C8%2C
8,"Data science using Python and R / Chantal D. Larose, Daniel T. Larose",http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&9%2C9%2C
9,Python machine learning / Wei-Meng Lee,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&10%2C10%2C
10,A beginners guide to Python 3 programming / John Hunt,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&11%2C11%2C
11,Advanced guide to Python 3 programming / John Hunt,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&12%2C12%2C
12,"Python by example : learning to program in 150 challenges / Nichola Lacey, Nichola Wilkin Ltd",http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&13%2C13%2C
13,Machine Learning with Spark and Python : Essential Techniques for Predictive Analytics / Michael Bowles,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&14%2C14%2C
14,Classic computer science problems in Python / David Kopec.,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&15%2C15%2C
15,"Python machine learning cookbook : over 100 recipes to progress from smart data analytics to deep learning using real-world datasets / Giuseppe Ciaburro, Prateek Joshi",http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&16%2C16%2C
16,"Data science projects with Python : a case study approach to successful data science projects using Python, pandas, and scikcit-learn / Stephen Klosterman",http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&17%2C17%2C
