,BookName,Href
0,Programming with Scala: language exploration / Bhim P  Upadhyaya,http://oskicat.berkeley.edu/search~S1?/X(Scala+language)&SORT=D/X(Scala+language)&SORT=D&SUBKEY=(Scala+language)/1%2C78%2C78%2CB/frameset&FF=X(Scala+language)&SORT=D&1%2C1%2C
1,Data structured and algorithms with Scala: a practitioner's approach with emphasis on functional programming / Bhim P  Upadhyaya,http://oskicat.berkeley.edu/search~S1?/X(Scala+language)&SORT=D/X(Scala+language)&SORT=D&SUBKEY=(Scala+language)/1%2C78%2C78%2CB/frameset&FF=X(Scala+language)&SORT=D&2%2C2%2C
2,Scala programming for big data analytics: get started with big data analytics using Apache Spark / Irfan Elahi,http://oskicat.berkeley.edu/search~S1?/X(Scala+language)&SORT=D/X(Scala+language)&SORT=D&SUBKEY=(Scala+language)/1%2C78%2C78%2CB/frameset&FF=X(Scala+language)&SORT=D&3%2C3%2C
3,Scala for Java developers: a practical primer / Toby Weston,http://oskicat.berkeley.edu/search~S1?/X(Scala+language)&SORT=D/X(Scala+language)&SORT=D&SUBKEY=(Scala+language)/1%2C78%2C78%2CB/frameset&FF=X(Scala+language)&SORT=D&4%2C4%2C
4,Scala design patterns: patterns for practical reuse and design / John Hunt,http://oskicat.berkeley.edu/search~S1?/X(Scala+language)&SORT=D/X(Scala+language)&SORT=D&SUBKEY=(Scala+language)/1%2C78%2C78%2CB/frameset&FF=X(Scala+language)&SORT=D&5%2C5%2C
5,Scala: from a functional programming perspective: an introduction to the programming language / Vicenç Torra,http://oskicat.berkeley.edu/search~S1?/X(Scala+language)&SORT=D/X(Scala+language)&SORT=D&SUBKEY=(Scala+language)/1%2C78%2C78%2CB/frameset&FF=X(Scala+language)&SORT=D&6%2C6%2C
6,The Canterbury tales handbook / Elizabeth Scala ,http://oskicat.berkeley.edu/search~S1?/X(Scala+language)&SORT=D/X(Scala+language)&SORT=D&SUBKEY=(Scala+language)/1%2C78%2C78%2CB/frameset&FF=X(Scala+language)&SORT=D&7%2C7%2C
7,"Scala '19: proceedings of the 10th ACM SIGPLAN International Symposium on Scala: July 17, 2019, London, UK / sponsored by: ACM SIGPLAN ",http://oskicat.berkeley.edu/search~S1?/X(Scala+language)&SORT=D/X(Scala+language)&SORT=D&SUBKEY=(Scala+language)/1%2C78%2C78%2CB/frameset&FF=X(Scala+language)&SORT=D&8%2C8%2C
8,"A beginner's guide to Scala, object orientation and functional programming / John Hunt",http://oskicat.berkeley.edu/search~S1?/X(Scala+language)&SORT=D/X(Scala+language)&SORT=D&SUBKEY=(Scala+language)/1%2C78%2C78%2CB/frameset&FF=X(Scala+language)&SORT=D&9%2C9%2C
9,"Program Synthesis for Systems Biology / Koksal, Ali Sinan ",http://oskicat.berkeley.edu/search~S1?/X(Scala+language)&SORT=D/X(Scala+language)&SORT=D&SUBKEY=(Scala+language)/1%2C78%2C78%2CB/frameset&FF=X(Scala+language)&SORT=D&10%2C10%2C
