,BookName,Href
0,Professional JavaScript for web developers / Matt Frisbie,http://oskicat.berkeley.edu/search~S1?/X(HTML+language)&SORT=D/X(HTML+language)&SORT=D&SUBKEY=(HTML+language)/1%2C739%2C739%2CB/frameset&FF=X(HTML+language)&SORT=D&1%2C1%2C
1,Creating Web Pages: Is Anyone Considering Visual Literacy?,http://oskicat.berkeley.edu/search~S1?/X(HTML+language)&SORT=D/X(HTML+language)&SORT=D&SUBKEY=(HTML+language)/1%2C739%2C739%2CB/frameset&FF=X(HTML+language)&SORT=D&2%2C2%2C
2,Visual Aesthetics and Functionality of Web Pages: Where is the Design?,http://oskicat.berkeley.edu/search~S1?/X(HTML+language)&SORT=D/X(HTML+language)&SORT=D&SUBKEY=(HTML+language)/1%2C739%2C739%2CB/frameset&FF=X(HTML+language)&SORT=D&3%2C3%2C
3,XHTML 1 0 language and design sourcebook: the next generation HTML / Ian S  Graham ,http://oskicat.berkeley.edu/search~S1?/X(HTML+language)&SORT=D/X(HTML+language)&SORT=D&SUBKEY=(HTML+language)/1%2C739%2C739%2CB/frameset&FF=X(HTML+language)&SORT=D&4%2C4%2C
4,Chaucer: the basics / Jacqueline Tasioulas ,http://oskicat.berkeley.edu/search~S1?/X(HTML+language)&SORT=D/X(HTML+language)&SORT=D&SUBKEY=(HTML+language)/1%2C739%2C739%2CB/frameset&FF=X(HTML+language)&SORT=D&5%2C5%2C
5,"The long-term economic outcomes of refugee private sponsorship /  by Lisa Kaida, Feng Hou and Max Stick ",http://oskicat.berkeley.edu/search~S1?/X(HTML+language)&SORT=D/X(HTML+language)&SORT=D&SUBKEY=(HTML+language)/1%2C739%2C739%2CB/frameset&FF=X(HTML+language)&SORT=D&6%2C6%2C
6,"Canada's black population:  education, labour and resilience ",http://oskicat.berkeley.edu/search~S1?/X(HTML+language)&SORT=D/X(HTML+language)&SORT=D&SUBKEY=(HTML+language)/1%2C739%2C739%2CB/frameset&FF=X(HTML+language)&SORT=D&7%2C7%2C
7,An Act to establish International Mother Language Day =  Loi instituant la Journée internationale de la langue maternelle ,http://oskicat.berkeley.edu/search~S1?/X(HTML+language)&SORT=D/X(HTML+language)&SORT=D&SUBKEY=(HTML+language)/1%2C739%2C739%2CB/frameset&FF=X(HTML+language)&SORT=D&8%2C8%2C
8,"Immigration and language in Canada, 2011 and 2016 /  by Brigitte Chavez ",http://oskicat.berkeley.edu/search~S1?/X(HTML+language)&SORT=D/X(HTML+language)&SORT=D&SUBKEY=(HTML+language)/1%2C739%2C739%2CB/frameset&FF=X(HTML+language)&SORT=D&9%2C9%2C
9,Diversity of the black population in Canada:  an overview ,http://oskicat.berkeley.edu/search~S1?/X(HTML+language)&SORT=D/X(HTML+language)&SORT=D&SUBKEY=(HTML+language)/1%2C739%2C739%2CB/frameset&FF=X(HTML+language)&SORT=D&10%2C10%2C
