,CourseName,Rating,ClassDifficulty,PartnerName,Href
0,Java Programming and Software Engineering Fundamentals,4.6,Beginner,Duke University,www.coursera.org/specializations/java-programming
1,Object Oriented Programming in Java,4.7,Beginner,Duke University,www.coursera.org/specializations/object-oriented-programming
2,Object Oriented Java Programming: Data Structures and Beyond,4.7,Intermediate,University of California San Diego,www.coursera.org/specializations/java-object-oriented
3,Introducción a Java,4.4,Beginner,Universidad Nacional Autónoma de México,www.coursera.org/learn/introduccion-java
4,Computer Science: Programming with a Purpose,4.8,Beginner,Princeton University,www.coursera.org/learn/cs-programming-java
5,Java Programming: Solving Problems with Software,4.6,Beginner,Duke University,www.coursera.org/learn/java-programming
6,Building Scalable Java Microservices with Spring Boot and Spring Cloud,4.3,Intermediate,Google Cloud,www.coursera.org/learn/google-cloud-java-spring
7,"Algorithms, Part I",4.9,Intermediate,Princeton University,www.coursera.org/learn/algorithms-part1
8,Object Oriented Programming in Java,4.7,Intermediate,University of California San Diego,www.coursera.org/learn/object-oriented-java
9,"Parallel, Concurrent, and Distributed Programming in Java",4.5,Intermediate,Rice University,www.coursera.org/specializations/pcdp
