,CourseName,Rating,ClassDifficulty,PartnerName,Href
0,Data Science: Foundations using R,4.6,Beginner,Johns Hopkins University,www.coursera.org/specializations/data-science-foundations-r
1,Statistics with R,4.7,Beginner,Duke University,www.coursera.org/specializations/statistics
2,Data Science,4.5,Beginner,Johns Hopkins University,www.coursera.org/specializations/jhu-data-science
3,R Programming,4.6,Intermediate,Johns Hopkins University,www.coursera.org/learn/r-programming
4,Introducción a Data Science: Programación Estadística con R,4.7,Beginner,Universidad Nacional Autónoma de México,www.coursera.org/learn/intro-data-science-programacion-estadistica-r
5,Statistical Analysis with R for Public Health,4.7,Beginner,Imperial College London,www.coursera.org/specializations/statistical-analysis-r-public-health
6,IBM Data Science,4.6,Beginner,IBM,www.coursera.org/professional-certificates/ibm-data-science
7,Mastering Software Development in R,4.3,Beginner,Johns Hopkins University,www.coursera.org/specializations/r
8,Data Science: Statistics and Machine Learning,4.4,Intermediate,Johns Hopkins University,www.coursera.org/specializations/data-science-statistics-machine-learning
9,Advanced R Programming,4.3,Intermediate,Johns Hopkins University,www.coursera.org/learn/advanced-r
